Received Date,Employer Name,Employer City,Employer State,Employer Zip Code,Industry,Complaint Type,Minimum Wage,Tips,Prevailing Wage,Independent contractor misclassification,Retaliation,Overtime,Non-payment of wages,Vacation Pay,Meal Period,Child Labor,Unpaid commissions,Personnel records,Other,Domestic Worker Law Violation,Earned Sick Leave,Temp Workers' Right to Know,Minor Working Too Early or Too Late,Minor Working Too Many Hours,Minor Working Without a Permit,Minor Working in a Prohibited Occupation,Minor Serving Alcohol,Minor Unsupervised after 8pm,Number
2/27/2026,Walgreen Eastern Co.                                                                                                                                  ,Deerfield                          ,IL   ,60015          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328352
2/26/2026,Advanced Basement Waterproofing                                                                                                                       ,Chicopee                           ,MA   ,01013          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , ,Yes, , , , , , , , , , , , , , , , , ,1328153
2/26/2026,GGY Transport d/b/a Tough Stuff Recycling                                                                                                             ,Eden Prarie                        ,MN   ,55344          ,Waste Management                                                                                    ,Prevailing Wage                                   , , ,Yes, , ,Yes, , , , , , , , , , , , , , , , ,1328324
2/26/2026,NorthEast Mechanical Services                                                                                                                         ,Wilmington                         ,MA   ,01887          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328180
2/26/2026,River Terrace Rehabilitation and Healthcare Center                                                                                                    ,Lancaster                          ,MA   ,01523          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , , , , , , , , , ,1328308
2/26/2026,The Gardner School of Weymouth                                                                                                                        ,Weymouth                           ,MA   ,02189          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , , ,Yes,Yes, ,Yes, , , , , ,Yes, , , , , , , ,1328309
2/25/2026,Aceituna Grill Kendall LLC                                                                                                                            ,Cambridge                          ,MA   ,02142          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , , ,Yes, , , , , , , , , , , , , , ,1328101
2/25/2026,"Center for Human Development, Inc.                                                                                                                    ",Springfield                        ,MA   ,01107          ,Hospitals/Nursing Home/Healthcare                                                                   ,Prevailing Wage                                   , , ,Yes, , , , , , , , , , , , , , , , , , , ,1327971
2/25/2026,Center for Living & Working                                                                                                                           ,Worcester                          ,MA   ,01569          ,PCA/Home Healthcare                                                                                 ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328010
2/25/2026,CVS                                                                                                                                                   ,Lowell                             ,MA   ,01851          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , , , , , , , , , ,1327987
2/25/2026,East Coast Tavern Group                                                                                                                               ,Boston                             ,MA   ,02151          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , ,Yes, , , , , , , , , , , , , , , , , ,1327962
2/25/2026,FedEx                                                                                                                                                 ,Chicopee                           ,MA   ,01022          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , ,Yes, ,Yes, , , , , , , ,1328128
2/25/2026,Great American Insurance Group                                                                                                                        ,Cincinnati                         ,OH   ,45202          ,Bank/Financial                                                                                      , , , , , , , , , , , , , , , , , , , , , , , ,1328005
2/25/2026,Infuse Afro Fusion                                                                                                                                    ,Lowell                             ,MA   ,01852          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328007
2/25/2026,"Inishowen, Inc.                                                                                                                                       ",Boston                             ,MA   ,02108          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , ,Yes, , , , , , , ,1327948
2/25/2026,Keegan Kreations                                                                                                                                      ,Kingston                           ,MA   ,02364          ,Restaurant/Hotel                                                                                    , , , , , , , , , , , , , , , , , , , , , , , ,1327972
2/25/2026,Luxus Fleet                                                                                                                                           ,Canton                             ,MA   ,02021          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , , ,Yes, ,Yes, ,Yes,Yes,Yes, ,Yes, , , , , , , ,1327997
2/25/2026,Luxus Inc. (Fleet Luxus)                                                                                                                              ,Canton                             ,MA   ,02021          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , ,Yes, ,Yes,Yes,Yes,Yes, ,Yes, ,Yes, ,Yes, , , , , , , ,1328114
2/25/2026,M&T Bank                                                                                                                                              ,Danvers                            ,MA   ,01923          ,Bank/Financial                                                                                      ,Non-Payment of Wage                               , , , , ,Yes, , , , , ,Yes, , , , , , , , , , , ,1327975
2/25/2026,Marsoft Inc.                                                                                                                                          ,Boston                             ,MA   ,02109          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327969
2/25/2026,Motee’s Beauty / Motee Ukatu                                                                                                                          ,Taunton                            ,MA   ,02780          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328044
2/25/2026,NES Solutions                                                                                                                                         ,Smithfield                         ,RI   ,02917          ,Security                                                                                            ,Non-Payment of Wage                               , , , , ,Yes,Yes,Yes, , , , ,Yes, , ,Yes, , , , , , , ,1327993
2/25/2026,Northeast Family Services                                                                                                                             ,Lawrence                           ,MA   ,01843          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , ,Yes, ,Yes,Yes, , , , ,Yes, , , , , , , , , ,1328025
2/25/2026,Planet Fitness                                                                                                                                        ,Hanson                             ,MA   ,02341          ,Fitness/Health Spa                                                                                  ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328130
2/25/2026,Power of Recovery                                                                                                                                     ,Revere                             ,MA   ,02151          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , , , , , , , , , ,1328100
2/25/2026,Quantum 5                                                                                                                                             ,Scottsdale                         ,AZ   ,85251          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , ,Yes, , , , , , , , , ,1327938
